Window,Midpoint,Pi,Theta,S
34137-34936,34536,0.0045,0.0054,9
34187-34986,34586,0.0045,0.0054,9
34237-35036,34636,0.0045,0.0054,9
34287-35086,34686,0.0035,0.0042,7
34337-35136,34736,0.0035,0.0042,7
34387-35186,34786,0.004,0.0048,8
34437-35236,34836,0.005,0.006,10
34487-35286,34886,0.005,0.006,10
34537-35336,34936,0.005,0.006,10
34587-35386,34986,0.0045,0.0054,9
34637-35436,35036,0.0045,0.0054,9
34687-35486,35086,0.004,0.0048,8
34737-35536,35136,0.0035,0.0042,7
34787-35586,35186,0.0035,0.0042,7
34837-35636,35236,0.0025,0.003,5
34887-35686,35286,0.003,0.0036,6
34937-35736,35336,0.003,0.0036,6
34987-35786,35386,0.003,0.0036,6
35037-35836,35436,0.003,0.0036,6
35087-35886,35486,0.003,0.0036,6
35137-35936,35536,0.0035,0.0042,7
35187-35986,35586,0.00375,0.0042,7
35237-36036,35636,0.00275,0.003,5
35287-36088,35686,0.00375,0.0042,7
35337-36138,35736,0.00375,0.0042,7
35387-36188,35786,0.00425,0.0048,8
35437-36238,35836,0.00425,0.0048,8
35487-36288,35886,0.00375,0.0042,7
35537-36338,35936,0.00375,0.0042,7
35587-36388,35986,0.00425,0.0048,8
35637-36438,36036,0.00475,0.0054,9
35687-36488,36088,0.00475,0.0054,9
35737-36539,36138,0.00475,0.0054,9
35787-36589,36188,0.00525,0.006,10
35837-36643,36238,0.00525,0.006,10
35887-36693,36288,0.00525,0.006,10
35937-36743,36338,0.00475,0.0054,9
35987-36793,36388,0.004,0.0048,8
36037-36843,36438,0.0045,0.0054,9
36089-36897,36488,0.004,0.0048,8
36139-36947,36539,0.005,0.006,10
36189-36999,36589,0.005,0.006,10
36239-37049,36643,0.00675,0.0078,13
36289-37099,36693,0.00725,0.0084,14
36339-37149,36743,0.00725,0.0084,14
36389-37199,36793,0.00725,0.0084,14
36439-37262,36843,0.00775,0.009,15
36489-37320,36897,0.0075,0.0084,14
36540-37370,36947,0.008,0.009,15
36590-37421,36999,0.0075,0.0084,14
36644-37471,37049,0.0075,0.0084,14
36694-37521,37099,0.0075,0.0084,14
36744-37571,37149,0.0075,0.0084,14
36794-37621,37199,0.0085,0.0096,16
36844-37671,37262,0.008,0.009,15
36898-37721,37320,0.0075,0.0084,14
36948-37771,37370,0.007,0.0078,13
37000-37821,37421,0.0065,0.0072,12
37050-37871,37471,0.00525,0.006,10
37100-37921,37521,0.00475,0.0054,9
37150-37971,37571,0.00475,0.0054,9
37200-38021,37621,0.00525,0.006,10
37263-38071,37671,0.00425,0.0048,8
37321-38121,37721,0.0035,0.0042,7
37371-38171,37771,0.003,0.0036,6
37422-38221,37821,0.003,0.0036,6
37472-38271,37871,0.003,0.0036,6
37522-38321,37921,0.003,0.0036,6
37572-38371,37971,0.003,0.0036,6
37622-38421,38021,0.002,0.0024,4
37672-38471,38071,0.002,0.0024,4
37722-38521,38121,0.002,0.0024,4
37772-38571,38171,0.0015,0.0018,3
37822-38621,38221,0.0015,0.0018,3
37872-38671,38271,0.001,0.0012,2
37922-38721,38321,0.0015,0.0018,3
37972-38771,38371,0.0015,0.0018,3
38022-38821,38421,0.0015,0.0018,3
38072-38871,38471,0.0015,0.0018,3
38122-38921,38521,0.002,0.0024,4
38172-38971,38571,0.002,0.0024,4
38222-39021,38621,0.002,0.0024,4
38272-39071,38671,0.002,0.0024,4
38322-39121,38721,0.002,0.0024,4
38372-39171,38771,0.002,0.0024,4
38422-39221,38821,0.002,0.0024,4
38472-39271,38871,0.0025,0.003,5
38522-39321,38921,0.0025,0.003,5
38572-39371,38971,0.0025,0.003,5
38622-39421,39021,0.003,0.0036,6
38672-39471,39071,0.003,0.0036,6
38722-39521,39121,0.0025,0.003,5
38772-39571,39171,0.0025,0.003,5
38822-39621,39221,0.0015,0.0018,3
38872-39671,39271,0.0025,0.003,5
38922-39721,39321,0.002,0.0024,4
38972-39771,39371,0.002,0.0024,4
39022-39821,39421,0.0025,0.003,5
39072-39871,39471,0.003,0.0036,6
39122-39921,39521,0.0035,0.0042,7
39172-39971,39571,0.0035,0.0042,7
39222-40021,39621,0.0035,0.0042,7
39272-40071,39671,0.003,0.0036,6
39322-40121,39721,0.0035,0.0042,7
39372-40171,39771,0.004,0.0048,8
39422-40221,39821,0.0035,0.0042,7
39472-40271,39871,0.0035,0.0042,7
39522-40321,39921,0.0035,0.0042,7
39572-40371,39971,0.0035,0.0042,7
39622-40421,40021,0.0035,0.0042,7
39672-40471,40071,0.003,0.0036,6
39722-40521,40121,0.003,0.0036,6
39772-40571,40171,0.003,0.0036,6
39822-40621,40221,0.003,0.0036,6
39872-40671,40271,0.0025,0.003,5
39922-40721,40321,0.002,0.0024,4
39972-40771,40371,0.002,0.0024,4
40022-40821,40421,0.002,0.0024,4
40072-40871,40471,0.002,0.0024,4
40122-40921,40521,0.0015,0.0018,3
40172-40971,40571,0.001,0.0012,2
40222-41021,40621,0.001,0.0012,2
40272-41071,40671,0.001,0.0012,2
40322-41121,40721,0.001,0.0012,2
40372-41171,40771,0.001,0.0012,2
40422-41221,40821,0.001,0.0012,2
40472-41271,40871,0.0005,0.0006,1
40522-41321,40921,0.0005,0.0006,1
40572-41371,40971,0.0005,0.0006,1
40622-41421,41021,0,0,0
40672-41471,41071,0.0005,0.0006,1
40722-41521,41121,0.001,0.0012,2
40772-41571,41171,0.0015,0.0018,3
40822-41621,41221,0.0015,0.0018,3
40872-41671,41271,0.0015,0.0018,3
40922-41721,41321,0.0015,0.0018,3
40972-41771,41371,0.0015,0.0018,3
41022-41821,41421,0.0015,0.0018,3
41072-41871,41471,0.0015,0.0018,3
41122-41921,41521,0.002,0.0024,4
41172-41971,41571,0.002,0.0024,4
41222-42021,41621,0.002,0.0024,4
41272-42071,41671,0.0025,0.003,5
41322-42121,41721,0.0025,0.003,5
41372-42171,41771,0.003,0.0036,6
41422-42221,41821,0.003,0.0036,6
41472-42271,41871,0.0025,0.003,5
41522-42321,41921,0.002,0.0024,4
41572-42371,41971,0.002,0.0024,4
41622-42421,42021,0.002,0.0024,4
41672-42471,42071,0.0025,0.003,5
41722-42521,42121,0.0025,0.003,5
41772-42571,42171,0.0025,0.003,5
41822-42621,42221,0.00375,0.0042,7
41872-42671,42271,0.00375,0.0042,7
41922-42721,42321,0.00325,0.0036,6
41972-42771,42371,0.00425,0.0048,8
42022-42821,42421,0.00475,0.0054,9
42072-42873,42471,0.00575,0.0066,11
42122-42935,42521,0.00675,0.0078,13
42172-42986,42571,0.00725,0.0084,14
42222-43036,42621,0.00775,0.009,15
42272-43086,42671,0.00775,0.009,15
42322-43136,42721,0.00775,0.009,15
42372-43192,42771,0.00725,0.0084,14
42422-43274,42821,0.00825,0.0096,16
42472-43324,42873,0.00775,0.009,15
42522-43374,42935,0.00775,0.009,15
42572-43424,42986,0.00775,0.009,15
42622-43474,43036,0.007,0.0084,14
42672-43524,43086,0.007,0.0084,14
42722-43574,43136,0.0075,0.009,15
42772-43635,43192,0.0065,0.0078,13
42822-43685,43274,0.006,0.0072,12
42874-43735,43324,0.0045,0.0054,9
42936-43785,43374,0.0035,0.0042,7
42987-43835,43424,0.0025,0.003,5
43037-43885,43474,0.0025,0.003,5
43087-43935,43524,0.003,0.0036,6
43137-43985,43574,0.005,0.006,10
43193-44035,43635,0.008,0.0096,16
43275-44085,43685,0.007,0.0084,14
43325-44137,43735,0.008,0.0096,16
43375-44187,43785,0.008,0.0096,16
43425-44237,43835,0.008,0.0096,16
43475-44287,43885,0.0075,0.009,15
43525-44337,43935,0.0075,0.009,15
43575-44387,43985,0.007,0.0084,14
43636-44437,44035,0.007,0.0084,14
43686-44487,44085,0.008,0.0096,16
43736-44537,44137,0.009,0.0108,18
43786-44587,44187,0.0095,0.0114,19
43836-44637,44237,0.0095,0.0114,19
43886-44687,44287,0.009,0.0108,18
43936-44737,44337,0.0085,0.0102,17
43986-44787,44387,0.0065,0.0078,13
44036-44837,44437,0.0035,0.0042,7
44086-44887,44487,0.0035,0.0042,7
44138-44937,44537,0.0025,0.003,5
44188-44987,44587,0.0025,0.003,5
44238-45050,44637,0.003,0.0036,6
44288-45100,44687,0.003,0.0036,6
44338-45150,44737,0.003,0.0036,6
44388-45200,44787,0.003,0.0036,6
44438-45250,44837,0.003,0.0036,6
44488-45300,44887,0.002,0.0024,4
44538-45352,44937,0.002,0.0024,4
44588-45447,44987,0.002,0.0024,4
44638-45502,45050,0.002,0.0024,4
44688-45558,45100,0.0025,0.003,5
44738-45608,45150,0.003,0.0036,6
44788-45658,45200,0.003,0.0036,6
44838-45708,45250,0.003,0.0036,6
44888-45758,45300,0.0035,0.0042,7
44938-45808,45352,0.004,0.0048,8
44988-45864,45447,0.0065,0.0072,12
45051-45914,45502,0.008,0.009,15
45101-45979,45558,0.0085,0.0096,16
45151-46029,45608,0.01,0.0114,19
45201-46079,45658,0.01,0.0114,19
45251-46129,45708,0.01,0.0114,19
45301-46179,45758,0.01,0.0114,19
45353-46230,45808,0.0095,0.0108,18
45448-46280,45864,0.009,0.0102,17
45503-46330,45914,0.01,0.0114,19
45559-46380,45979,0.0095,0.0108,18
45609-46434,46029,0.009,0.0102,17
45659-46484,46079,0.0095,0.0108,18
45709-46534,46129,0.01,0.0114,19
45759-46584,46179,0.01,0.0114,19
45809-46634,46230,0.01,0.0114,19
45865-46684,46280,0.0075,0.009,15
45915-46734,46330,0.006,0.0072,12
45980-46784,46380,0.0055,0.0066,11
46030-46834,46434,0.004,0.0048,8
46080-46884,46484,0.004,0.0048,8
46130-46934,46534,0.004,0.0048,8
46180-46984,46584,0.0045,0.0054,9
46231-47034,46634,0.004,0.0048,8
46281-47084,46684,0.0045,0.0054,9
46331-47144,46734,0.004,0.0048,8
46381-47194,46784,0.0045,0.0054,9
46435-47244,46834,0.0045,0.0054,9
46485-47296,46884,0.005,0.006,10
46535-47346,46934,0.005,0.006,10
46585-47396,46984,0.006,0.0072,12
46635-47446,47034,0.00725,0.0084,14
46685-47496,47084,0.00725,0.0084,14
46735-47546,47144,0.00825,0.0096,16
46785-47596,47194,0.00962,0.0108,18
46835-47646,47244,0.01013,0.0114,19
46885-47707,47296,0.01013,0.0114,19
46935-47757,47346,0.01013,0.0114,19
46985-47821,47396,0.01013,0.0114,19
47035-47871,47446,0.01013,0.0114,19
47085-47921,47496,0.00962,0.0108,18
47145-47975,47546,0.00987,0.0108,18
47195-48025,47596,0.00987,0.0108,18
47245-48075,47646,0.01038,0.0114,19
47297-48132,47707,0.00987,0.0108,18
47347-48182,47757,0.00937,0.0102,17
47397-48232,47821,0.00787,0.0084,14
47447-48282,47871,0.00613,0.0066,11
47497-48332,47921,0.00663,0.0072,12
47547-48382,47975,0.00513,0.0054,9
47597-48432,48025,0.00375,0.0042,7
47647-48482,48075,0.00375,0.0042,7
47708-48532,48132,0.00425,0.0048,8
47758-48583,48182,0.00525,0.006,10
47822-48633,48232,0.00525,0.006,10
47872-48683,48282,0.00525,0.006,10
47922-48733,48332,0.00525,0.006,10
47976-48783,48382,0.0045,0.0054,9
48026-48834,48432,0.0045,0.0054,9
48076-48884,48482,0.0045,0.0054,9
48133-48934,48532,0.0045,0.0054,9
48183-48984,48583,0.0045,0.0054,9
48233-49034,48633,0.0045,0.0054,9
48283-49085,48683,0.005,0.006,10
48333-49135,48733,0.0045,0.0054,9
48383-49185,48783,0.0045,0.0054,9
48433-49235,48834,0.0045,0.0054,9
48483-49285,48884,0.0055,0.0066,11
48533-49350,48934,0.005,0.006,10
48584-49400,48984,0.0045,0.0054,9
48634-49452,49034,0.0045,0.0054,9
48684-49502,49085,0.0045,0.0054,9
48734-49562,49135,0.005,0.006,10
48784-49612,49185,0.005,0.006,10
48835-49662,49235,0.0045,0.0054,9
48885-49712,49285,0.004,0.0048,8
48935-49762,49350,0.004,0.0048,8
48985-49812,49400,0.004,0.0048,8
49035-49862,49452,0.004,0.0048,8
49086-49912,49502,0.0045,0.0054,9
49136-49962,49562,0.0045,0.0054,9
49186-50012,49612,0.0045,0.0054,9
49236-50062,49662,0.005,0.006,10
49286-50112,49712,0.0035,0.0042,7
49351-50162,49762,0.0035,0.0042,7
49401-50212,49812,0.0035,0.0042,7
49453-50262,49862,0.003,0.0036,6
49503-50312,49912,0.003,0.0036,6
49563-50362,49962,0.0025,0.003,5
49613-50421,50012,0.0025,0.003,5
49663-50471,50062,0.004,0.0048,8
49713-50521,50112,0.004,0.0048,8
49763-50571,50162,0.0035,0.0042,7
49813-50621,50212,0.004,0.0048,8
49863-50671,50262,0.004,0.0048,8
49913-50721,50312,0.003,0.0036,6
49963-50771,50362,0.0035,0.0042,7
50013-50821,50421,0.005,0.006,10
50063-50871,50471,0.0045,0.0054,9
50113-50921,50521,0.0045,0.0054,9
50163-50971,50571,0.0045,0.0054,9
50213-51021,50621,0.004,0.0048,8
50263-51071,50671,0.004,0.0048,8
50313-51121,50721,0.004,0.0048,8
50363-51171,50771,0.004,0.0048,8
50422-51227,50821,0.004,0.0048,8
50472-51277,50871,0.003,0.0036,6
50522-51327,50921,0.003,0.0036,6
50572-51377,50971,0.003,0.0036,6
50622-51427,51021,0.0025,0.003,5
50672-51477,51071,0.003,0.0036,6
50722-51527,51121,0.003,0.0036,6
50772-51577,51171,0.0025,0.003,5
50822-51627,51227,0.002,0.0024,4
50872-51677,51277,0.0025,0.003,5
50922-51727,51327,0.0025,0.003,5
50972-51782,51377,0.004,0.0048,8
51022-51832,51427,0.004,0.0048,8
51072-51910,51477,0.0045,0.0054,9
51122-51964,51527,0.0055,0.0066,11
51172-52021,51577,0.006,0.0072,12
51228-52073,51627,0.0065,0.0078,13
51278-52123,51677,0.0065,0.0078,13
51328-52176,51727,0.0075,0.009,15
51378-52226,51782,0.008,0.0096,16
51428-52282,51832,0.0085,0.0102,17
51478-52332,51910,0.0085,0.0102,17
51528-52382,51964,0.0085,0.0102,17
51578-52432,52021,0.0085,0.0102,17
51628-52482,52073,0.008,0.0096,16
51678-52532,52123,0.008,0.0096,16
51728-52582,52176,0.0085,0.0102,17
51783-52632,52226,0.009,0.0108,18
51833-52682,52282,0.0095,0.0114,19
51911-52732,52332,0.01,0.012,20
51965-52782,52382,0.009,0.0108,18
52022-52832,52432,0.0085,0.0102,17
52074-52882,52482,0.008,0.0096,16
52124-52932,52532,0.008,0.0096,16
52177-52982,52582,0.008,0.0096,16
52227-53032,52632,0.0075,0.009,15
52283-53082,52682,0.007,0.0084,14
52333-53132,52732,0.00725,0.0084,14
52383-53182,52782,0.00725,0.0084,14
52433-53232,52832,0.00775,0.009,15
52483-53282,52882,0.00725,0.0084,14
52533-53332,52932,0.00775,0.009,15
52583-53382,52982,0.00725,0.0084,14
52633-53432,53032,0.00575,0.0066,11
52683-53482,53082,0.00575,0.0066,11
52733-53532,53132,0.00525,0.006,10
52783-53582,53182,0.00575,0.0066,11
52833-53632,53232,0.00575,0.0066,11
52883-53682,53282,0.00625,0.0072,12
52933-53732,53332,0.00625,0.0072,12
52983-53782,53382,0.00525,0.006,10
53033-53832,53432,0.00575,0.0066,11
53083-53882,53482,0.00675,0.0078,13
53133-53932,53532,0.0065,0.0078,13
53183-53982,53582,0.007,0.0084,14
53233-54032,53632,0.0065,0.0078,13
53283-54082,53682,0.0065,0.0078,13
53333-54132,53732,0.0055,0.0066,11
53383-54182,53782,0.0055,0.0066,11
53433-54232,53832,0.0055,0.0066,11
53483-54282,53882,0.005,0.006,10
53533-54332,53932,0.006,0.0072,12
53583-54382,53982,0.0055,0.0066,11
53633-54432,54032,0.0055,0.0066,11
53683-54482,54082,0.005,0.006,10
53733-54532,54132,0.0045,0.0054,9
53783-54582,54182,0.005,0.006,10
53833-54632,54232,0.0045,0.0054,9
53883-54682,54282,0.0035,0.0042,7
53933-54732,54332,0.003,0.0036,6
53983-54782,54382,0.0025,0.003,5
54033-54832,54432,0.003,0.0036,6
54083-54882,54482,0.003,0.0036,6
54133-54932,54532,0.0035,0.0042,7
54183-54982,54582,0.0035,0.0042,7
54233-55032,54632,0.003,0.0036,6
54283-55082,54682,0.004,0.0048,8
54333-55132,54732,0.0025,0.003,5
54383-55182,54782,0.0025,0.003,5
54433-55232,54832,0.003,0.0036,6
54483-55282,54882,0.003,0.0036,6
54533-55332,54932,0.003,0.0036,6
54583-55382,54982,0.0025,0.003,5
54633-55432,55032,0.00338,0.0036,6
54683-55482,55082,0.00388,0.0042,7
54733-55532,55132,0.00438,0.0048,8
54783-55582,55182,0.00438,0.0048,8
54833-55632,55232,0.00488,0.0054,9
54883-55682,55282,0.00563,0.006,10
54933-55732,55332,0.00563,0.006,10
54983-55783,55382,0.00563,0.006,10
55033-55833,55432,0.00613,0.0066,11
55083-55883,55482,0.00563,0.006,10
55133-55933,55532,0.00563,0.006,10
55183-55992,55582,0.00563,0.006,10
55233-56042,55632,0.00513,0.0054,9
55283-56092,55682,0.00613,0.0066,11
55333-56142,55732,0.00663,0.0072,12
55383-56192,55783,0.00713,0.0078,13
55433-56242,55833,0.00625,0.0072,12
55483-56293,55883,0.007,0.0078,13
55533-56343,55933,0.0065,0.0072,12
55583-56393,55992,0.0065,0.0072,12
55633-56443,56042,0.0055,0.006,10
55683-56493,56092,0.00475,0.0054,9
55733-56543,56142,0.00425,0.0048,8
55784-56593,56192,0.00425,0.0048,8
55834-56643,56242,0.00375,0.0042,7
55884-56693,56293,0.00375,0.0042,7
55934-56743,56343,0.00375,0.0042,7
55993-56793,56393,0.00475,0.0054,9
56043-56843,56443,0.00475,0.0054,9
56093-56893,56493,0.00375,0.0042,7
56143-56943,56543,0.004,0.0042,7
56193-56993,56593,0.004,0.0042,7
56243-57043,56643,0.004,0.0042,7
56294-57093,56693,0.00375,0.0042,7
56344-57143,56743,0.00375,0.0042,7
56394-57193,56793,0.00425,0.0048,8
56444-57243,56843,0.00425,0.0048,8
56494-57293,56893,0.0055,0.006,10
56544-57343,56943,0.006,0.0066,11
56594-57393,56993,0.0065,0.0072,12
56644-57443,57043,0.007,0.0078,13
56694-57493,57093,0.007,0.0078,13
56744-57543,57143,0.007,0.0078,13
56794-57593,57193,0.006,0.0066,11
56844-57643,57243,0.006,0.0066,11
56894-57693,57293,0.0065,0.0072,12
56944-57743,57343,0.00575,0.0066,11
56994-57793,57393,0.00525,0.006,10
57044-57843,57443,0.00575,0.0066,11
57094-57893,57493,0.00475,0.0054,9
57144-57943,57543,0.006,0.0066,11
57194-57993,57593,0.0055,0.006,10
57244-58043,57643,0.0055,0.006,10
57294-58093,57693,0.00425,0.0048,8
57344-58143,57743,0.00375,0.0042,7
57394-58193,57793,0.00325,0.0036,6
57444-58243,57843,0.00275,0.003,5
57494-58293,57893,0.00325,0.0036,6
57544-58343,57943,0.00575,0.0066,11
57594-58394,57993,0.00575,0.0066,11
57644-58444,58043,0.00575,0.0066,11
57694-58495,58093,0.00525,0.006,10
57744-58545,58143,0.00525,0.006,10
57794-58595,58193,0.00525,0.006,10
57844-58645,58243,0.00475,0.0054,9
57894-58695,58293,0.00525,0.006,10
57944-58754,58343,0.0045,0.0054,9
57994-58804,58394,0.0045,0.0054,9
58044-58854,58444,0.005,0.006,10
58094-58904,58495,0.005,0.006,10
58144-58954,58545,0.0055,0.0066,11
58194-59004,58595,0.006,0.0072,12
58244-59054,58645,0.0065,0.0078,13
58294-59104,58695,0.0055,0.0066,11
58344-59154,58754,0.003,0.0036,6
58395-59204,58804,0.003,0.0036,6
58445-59254,58854,0.003,0.0036,6
58496-59304,58904,0.003,0.0036,6
58546-59354,58954,0.003,0.0036,6
58596-59404,59004,0.0035,0.0042,7
58646-59454,59054,0.004,0.0048,8
58696-59504,59104,0.004,0.0048,8
58755-59554,59154,0.0035,0.0042,7
58805-59604,59204,0.0035,0.0042,7
58855-59654,59254,0.003,0.0036,6
58905-59704,59304,0.0035,0.0042,7
58955-59754,59354,0.003,0.0036,6
59005-59804,59404,0.0025,0.003,5
59055-59854,59454,0.002,0.0024,4
59105-59904,59504,0.002,0.0024,4
59155-59954,59554,0.002,0.0024,4
59205-60004,59604,0.003,0.0036,6
59255-60054,59654,0.0035,0.0042,7
59305-60104,59704,0.0045,0.0054,9
59355-60154,59754,0.0055,0.0066,11
59405-60204,59804,0.005,0.006,10
59455-60262,59854,0.0045,0.0054,9
59505-60312,59904,0.0045,0.0054,9
59555-60362,59954,0.005,0.006,10
59605-60433,60004,0.0055,0.0066,11
59655-60483,60054,0.0055,0.0066,11
59705-60533,60104,0.0055,0.0066,11
59755-60583,60154,0.006,0.0072,12
59805-60633,60204,0.006,0.0072,12
59855-60683,60262,0.006,0.0072,12
59905-60733,60312,0.007,0.0084,14
59955-60783,60362,0.0075,0.009,15
60005-60834,60433,0.0065,0.0078,13
60055-60884,60483,0.006,0.0072,12
60105-60934,60533,0.005,0.006,10
60155-60984,60583,0.0045,0.0054,9
60205-61039,60633,0.0055,0.0066,11
60263-61089,60683,0.0055,0.0066,11
60313-61139,60733,0.0055,0.0066,11
60363-61189,60783,0.0055,0.0066,11
60434-61239,60834,0.0055,0.0066,11
60484-61289,60884,0.0055,0.0066,11
60534-61339,60934,0.0055,0.0066,11
60584-61389,60984,0.006,0.0072,12
60634-61439,61039,0.00825,0.0096,16
60684-61489,61089,0.00825,0.0096,16
60734-61539,61139,0.00725,0.0084,14
60784-61589,61189,0.00725,0.0084,14
60835-61639,61239,0.00775,0.009,15
60885-61689,61289,0.00925,0.0108,18
60935-61739,61339,0.01538,0.0174,29
60985-61789,61389,0.01688,0.0192,32
61040-61839,61439,0.01738,0.0198,33
61090-61895,61489,0.01738,0.0198,33
61140-61945,61539,0.01838,0.021,35
61190-61995,61589,0.01788,0.0204,34
61240-62045,61639,0.01788,0.0204,34
61290-62098,61689,0.01888,0.0216,36
61340-62154,61739,0.02038,0.0234,39
61390-62204,61789,0.01988,0.0228,38
61440-62260,61839,0.01763,0.0204,34
61490-62311,61895,0.01763,0.0204,34
61540-62361,61945,0.01813,0.021,35
61590-62411,61995,0.01763,0.0204,34
61640-62461,62045,0.01713,0.0198,33
61690-62588,62098,0.01563,0.018,30
61740-62638,62154,0.0105,0.0126,21
61790-62688,62204,0.0085,0.0102,17
61840-62739,62260,0.007,0.0084,14
61896-62789,62311,0.0075,0.009,15
61946-62839,62361,0.006,0.0072,12
61996-62889,62411,0.006,0.0072,12
62046-62939,62461,0.0055,0.0066,11
62099-62989,62588,0.005,0.006,10
62155-63039,62638,0.003,0.0036,6
62205-63089,62688,0.003,0.0036,6
62261-63139,62739,0.003,0.0036,6
62312-63189,62789,0.0035,0.0042,7
62362-63239,62839,0.003,0.0036,6
62412-63289,62889,0.0035,0.0042,7
62462-63339,62939,0.004,0.0048,8
62589-63389,62989,0.004,0.0048,8
62639-63439,63039,0.003,0.0036,6
62689-63489,63089,0.00425,0.0048,8
62740-63539,63139,0.00475,0.0054,9
62790-63596,63189,0.00425,0.0048,8
62840-63646,63239,0.00475,0.0054,9
62890-63696,63289,0.00475,0.0054,9
62940-63746,63339,0.00475,0.0054,9
62990-63796,63389,0.00475,0.0054,9
63040-63846,63439,0.00475,0.0054,9
63090-63896,63489,0.00425,0.0048,8
63140-63946,63539,0.00425,0.0048,8
63190-63996,63596,0.00425,0.0048,8
63240-64046,63646,0.00475,0.0054,9
63290-64096,63696,0.00425,0.0048,8
63340-64146,63746,0.00375,0.0042,7
63390-64196,63796,0.00375,0.0042,7
63440-64246,63846,0.00425,0.0048,8
63490-64296,63896,0.0045,0.0054,9
63540-64346,63946,0.0055,0.0066,11
63597-64396,63996,0.006,0.0072,12
63647-64446,64046,0.006,0.0072,12
63697-64496,64096,0.006,0.0072,12
63747-64546,64146,0.0065,0.0078,13
63797-64596,64196,0.0065,0.0078,13
63847-64646,64246,0.0065,0.0078,13
63897-64696,64296,0.0065,0.0078,13
63947-64746,64346,0.007,0.0084,14
63997-64796,64396,0.007,0.0084,14
64047-64846,64446,0.00775,0.009,15
64097-64896,64496,0.00775,0.009,15
64147-64947,64546,0.00825,0.0096,16
64197-65002,64596,0.00875,0.0102,17
64247-65063,64646,0.01025,0.012,20
64297-65113,64696,0.00875,0.0102,17
64347-65163,64746,0.00775,0.009,15
64397-65213,64796,0.00775,0.009,15
64447-65266,64846,0.00725,0.0084,14
64497-65316,64896,0.00775,0.009,15
64547-65366,64947,0.00775,0.009,15
64597-65418,65002,0.00875,0.0102,17
64647-65468,65063,0.01063,0.012,20
64697-65518,65113,0.01063,0.012,20
64747-65573,65163,0.01213,0.0138,23
64797-65623,65213,0.01213,0.0138,23
64847-65673,65266,0.01088,0.0126,21
64897-65723,65316,0.01088,0.0126,21
64948-65773,65366,0.01088,0.0126,21
65003-65823,65418,0.01038,0.012,20
65064-65873,65468,0.00838,0.0096,16
65114-65923,65518,0.00838,0.0096,16
65164-65973,65573,0.00787,0.009,15
65214-66023,65623,0.00738,0.0084,14
65267-66073,65673,0.00738,0.0084,14
65317-66123,65723,0.00688,0.0078,13
65367-66173,65773,0.00688,0.0078,13
65419-66223,65823,0.00538,0.006,10
65469-66273,65873,0.0035,0.0042,7
65519-66323,65923,0.004,0.0048,8
65574-66373,65973,0.002,0.0024,4
65624-66423,66023,0.0015,0.0018,3
65674-66473,66073,0.0015,0.0018,3
65724-66523,66123,0.002,0.0024,4
65774-66573,66173,0.0025,0.003,5
65824-66623,66223,0.0035,0.0042,7
65874-66673,66273,0.004,0.0048,8
65924-66731,66323,0.0045,0.0054,9
65974-66781,66373,0.0045,0.0054,9
66024-66831,66423,0.005,0.006,10
66074-66885,66473,0.0065,0.0072,12
66124-66935,66523,0.0075,0.0084,14
66174-66985,66573,0.008,0.009,15
66224-67035,66623,0.0105,0.012,20
66274-67085,66673,0.0115,0.0132,22
66324-67135,66731,0.0115,0.0132,22
66374-67185,66781,0.0115,0.0132,22
66424-67235,66831,0.0125,0.0144,24
66474-67285,66885,0.0125,0.0144,24
66524-67335,66935,0.0125,0.0144,24
66574-67385,66985,0.0115,0.0132,22
66624-67435,67035,0.011,0.0126,21
66674-67485,67085,0.011,0.0126,21
66732-67535,67135,0.011,0.0126,21
66782-67592,67185,0.012,0.0138,23
66832-67642,67235,0.012,0.0138,23
66886-67693,67285,0.011,0.0132,22
66936-67743,67335,0.01,0.012,20
66986-67793,67385,0.009,0.0108,18
67036-67843,67435,0.0065,0.0078,13
67086-67898,67485,0.006,0.0072,12
67136-67948,67535,0.0055,0.0066,11
67186-67998,67592,0.0055,0.0066,11
67236-68048,67642,0.0045,0.0054,9
67286-68107,67693,0.0055,0.0066,11
67336-68157,67743,0.005,0.006,10
67386-68207,67793,0.005,0.006,10
67436-68257,67843,0.0045,0.0054,9
67486-68307,67898,0.004,0.0048,8
67536-68358,67948,0.004,0.0048,8
67593-68408,67998,0.0035,0.0042,7
67643-68461,68048,0.004,0.0048,8
67694-68518,68107,0.005,0.006,10
67744-68568,68157,0.005,0.006,10
67794-68629,68207,0.005,0.006,10
67844-68679,68257,0.0055,0.0066,11
67899-68729,68307,0.005,0.006,10
67949-68779,68358,0.005,0.006,10
67999-68830,68408,0.0055,0.0066,11
68049-68882,68461,0.0055,0.0066,11
68108-68932,68518,0.005,0.006,10
68158-68982,68568,0.0055,0.0066,11
68208-69032,68629,0.006,0.0072,12
68258-69087,68679,0.006,0.0072,12
68308-69137,68729,0.006,0.0072,12
68359-69187,68779,0.006,0.0072,12
68409-69244,68830,0.0055,0.0066,11
68462-69294,68882,0.005,0.006,10
68519-69344,68932,0.004,0.0048,8
68569-69394,68982,0.005,0.006,10
68630-69444,69032,0.00688,0.0078,13
68680-69494,69087,0.00688,0.0078,13
68730-69544,69137,0.00688,0.0078,13
68780-69594,69187,0.00688,0.0078,13
68831-69644,69244,0.00638,0.0072,12
68883-69694,69294,0.00638,0.0072,12
