Window,Midpoint,Pi,Theta,S
33337-34136,33736,0.00188,0.00184,4
33387-34186,33786,0.00188,0.00184,4
33437-34236,33836,0.0016,0.00138,3
33487-34286,33886,0.00208,0.00184,4
33537-34336,33936,0.00208,0.00184,4
33587-34386,33986,0.00208,0.00184,4
33637-34436,34036,0.00181,0.00138,3
33687-34486,34086,0.00181,0.00138,3
33737-34536,34136,0.00181,0.00138,3
33787-34586,34186,0.00208,0.00184,4
33837-34636,34236,0.00208,0.00184,4
33887-34686,34286,0.00236,0.0023,5
33937-34736,34336,0.00222,0.00276,6
33987-34786,34386,0.00222,0.00276,6
34037-34836,34436,0.00278,0.00368,8
34087-34886,34486,0.00306,0.00414,9
34137-34936,34536,0.00306,0.00414,9
34187-34986,34586,0.00306,0.00414,9
34237-35036,34636,0.00306,0.00414,9
34287-35086,34686,0.00194,0.00322,7
34337-35136,34736,0.00194,0.00322,7
34387-35186,34786,0.00243,0.00368,8
34437-35236,34836,0.00319,0.0046,10
34487-35286,34886,0.00319,0.0046,10
34537-35336,34936,0.00319,0.0046,10
34587-35386,34986,0.00292,0.00414,9
34637-35436,35036,0.00292,0.00414,9
34687-35486,35086,0.00292,0.00414,9
34737-35536,35136,0.00236,0.00322,7
34787-35586,35186,0.00236,0.00322,7
34837-35636,35236,0.00181,0.0023,5
34887-35686,35286,0.00229,0.00276,6
34937-35736,35336,0.00229,0.00276,6
34987-35786,35386,0.00229,0.00276,6
35037-35836,35436,0.00229,0.00276,6
35087-35886,35486,0.00229,0.00276,6
35137-35936,35536,0.00278,0.00322,7
35187-35986,35586,0.00292,0.00322,7
35237-36036,35636,0.00215,0.0023,5
35287-36088,35686,0.00292,0.00322,7
35337-36138,35736,0.00292,0.00322,7
35387-36188,35786,0.0034,0.00368,8
35437-36238,35836,0.0034,0.00368,8
35487-36288,35886,0.00313,0.00322,7
35537-36338,35936,0.00313,0.00322,7
35587-36388,35986,0.00375,0.00368,8
35637-36438,36036,0.00403,0.00414,9
35687-36488,36088,0.00424,0.00414,9
35737-36539,36138,0.00424,0.00414,9
35787-36589,36188,0.00451,0.0046,10
35837-36643,36238,0.00451,0.0046,10
35887-36693,36288,0.00451,0.0046,10
35937-36743,36338,0.00403,0.00414,9
35987-36793,36388,0.00368,0.00414,9
36037-36843,36438,0.00396,0.0046,10
36089-36897,36488,0.00347,0.00414,9
36139-36947,36539,0.00424,0.00506,11
36189-36999,36589,0.00451,0.00552,12
36239-37049,36643,0.00569,0.0069,15
36289-37099,36693,0.00618,0.00736,16
36339-37149,36743,0.00618,0.00736,16
36389-37199,36793,0.00583,0.00736,16
36439-37262,36843,0.00611,0.00782,17
36489-37321,36897,0.00583,0.00736,16
36540-37371,36947,0.00632,0.00782,17
36590-37422,36999,0.00604,0.00736,16
36644-37472,37049,0.00604,0.00736,16
36694-37522,37099,0.00604,0.00736,16
36744-37572,37149,0.00604,0.00736,16
36794-37622,37199,0.00653,0.00782,17
36844-37672,37262,0.00625,0.00736,16
36898-37722,37321,0.00597,0.0069,15
36948-37772,37371,0.00549,0.00644,14
37000-37822,37422,0.00472,0.00552,12
37050-37872,37472,0.00382,0.0046,10
37100-37922,37522,0.00333,0.00414,9
37150-37972,37572,0.00333,0.00414,9
37200-38022,37622,0.00382,0.0046,10
37263-38072,37672,0.00326,0.00368,8
37322-38122,37722,0.00257,0.00322,7
37372-38172,37772,0.00208,0.00276,6
37423-38222,37822,0.00208,0.00276,6
37473-38272,37872,0.00208,0.00276,6
37523-38322,37922,0.00208,0.00276,6
37573-38372,37972,0.00208,0.00276,6
37623-38422,38022,0.00132,0.00184,4
37673-38472,38072,0.00132,0.00184,4
37723-38522,38122,0.00132,0.00184,4
37773-38572,38172,0.00104,0.00138,3
37823-38622,38222,0.00104,0.00138,3
37873-38672,38272,0.00076,0.00092,2
37923-38722,38322,0.00125,0.00138,3
37973-38772,38372,0.00125,0.00138,3
38023-38822,38422,0.00125,0.00138,3
38073-38872,38472,0.00125,0.00138,3
38123-38922,38522,0.00153,0.00184,4
38173-38972,38572,0.00153,0.00184,4
38223-39022,38622,0.00153,0.00184,4
38273-39072,38672,0.00153,0.00184,4
38323-39122,38722,0.00153,0.00184,4
38373-39172,38772,0.00153,0.00184,4
38423-39222,38822,0.00153,0.00184,4
38473-39272,38872,0.00181,0.0023,5
38523-39322,38922,0.00181,0.0023,5
38573-39372,38972,0.00181,0.0023,5
38623-39422,39022,0.00208,0.00276,6
38673-39472,39072,0.00208,0.00276,6
38723-39522,39122,0.0016,0.0023,5
38773-39572,39172,0.0016,0.0023,5
38823-39622,39222,0.00083,0.00138,3
38873-39672,39272,0.00174,0.0023,5
38923-39722,39322,0.00146,0.00184,4
38973-39772,39372,0.00146,0.00184,4
39023-39822,39422,0.00194,0.0023,5
39073-39872,39472,0.00222,0.00276,6
39123-39922,39522,0.0025,0.00322,7
39173-39972,39572,0.0025,0.00322,7
39223-40022,39622,0.0025,0.00322,7
39273-40072,39672,0.0025,0.00322,7
39323-40122,39722,0.00278,0.00368,8
39373-40172,39772,0.00306,0.00414,9
39423-40222,39822,0.00278,0.00368,8
39473-40272,39872,0.00278,0.00368,8
39523-40322,39922,0.00278,0.00368,8
39573-40372,39972,0.00278,0.00368,8
39623-40422,40022,0.00278,0.00368,8
39673-40472,40072,0.00236,0.00322,7
39723-40522,40122,0.00236,0.00322,7
39773-40572,40172,0.00236,0.00322,7
39823-40622,40222,0.00215,0.00322,7
39873-40672,40272,0.00188,0.00276,6
39923-40722,40322,0.0016,0.0023,5
39973-40772,40372,0.0016,0.0023,5
40023-40822,40422,0.0016,0.0023,5
40073-40872,40472,0.00132,0.00184,4
40123-40922,40522,0.00104,0.00138,3
40173-40972,40572,0.00076,0.00092,2
40223-41022,40622,0.00076,0.00092,2
40273-41072,40672,0.00076,0.00092,2
40323-41122,40722,0.00076,0.00092,2
40373-41172,40772,0.00076,0.00092,2
40423-41222,40822,0.00076,0.00092,2
40473-41272,40872,0.00028,0.00046,1
40523-41322,40922,0.00028,0.00046,1
40573-41372,40972,0.00028,0.00046,1
40623-41422,41022,0,0,0
40673-41472,41072,0.00028,0.00046,1
40723-41522,41122,0.00056,0.00092,2
40773-41572,41172,0.00083,0.00138,3
40823-41622,41222,0.00083,0.00138,3
40873-41672,41272,0.00083,0.00138,3
40923-41722,41322,0.00083,0.00138,3
40973-41772,41372,0.00083,0.00138,3
41023-41822,41422,0.00083,0.00138,3
41073-41872,41472,0.00083,0.00138,3
41123-41922,41522,0.00111,0.00184,4
41173-41972,41572,0.00111,0.00184,4
41223-42022,41622,0.00111,0.00184,4
41273-42072,41672,0.00139,0.0023,5
41323-42122,41722,0.00139,0.0023,5
41373-42172,41772,0.00167,0.00276,6
41423-42222,41822,0.00167,0.00276,6
41473-42272,41872,0.00139,0.0023,5
41523-42322,41922,0.00111,0.00184,4
41573-42372,41972,0.00111,0.00184,4
41623-42422,42022,0.00111,0.00184,4
41673-42472,42072,0.0016,0.0023,5
41723-42522,42122,0.0016,0.0023,5
41773-42572,42172,0.0016,0.0023,5
41823-42622,42222,0.0025,0.00322,7
41873-42672,42272,0.0025,0.00322,7
41923-42722,42322,0.0025,0.00322,7
41973-42772,42372,0.00326,0.00414,9
42023-42822,42422,0.00354,0.0046,10
42073-42874,42472,0.00465,0.00552,12
42123-42936,42522,0.00493,0.00598,13
42173-42987,42572,0.00542,0.00644,14
42223-43037,42622,0.0059,0.0069,15
42273-43087,42672,0.00618,0.00736,16
42323-43137,42722,0.00646,0.00782,17
42373-43193,42772,0.00618,0.00736,16
42423-43275,42822,0.00715,0.00828,18
42473-43325,42874,0.00667,0.00782,17
42523-43375,42936,0.00667,0.00782,17
42573-43425,42987,0.00667,0.00782,17
42623-43475,43037,0.0066,0.00828,18
42673-43527,43087,0.0066,0.00828,18
42723-43577,43137,0.0066,0.00828,18
42773-43638,43193,0.00583,0.00736,16
42823-43688,43275,0.00556,0.0069,15
42875-43738,43325,0.00417,0.00552,12
42937-43788,43375,0.00389,0.00506,11
42988-43838,43425,0.00313,0.00414,9
43038-43888,43475,0.00292,0.00414,9
43088-43938,43527,0.00292,0.00414,9
43138-43989,43577,0.00264,0.00368,8
43194-44046,43638,0.00292,0.00414,9
43276-44096,43688,0.00194,0.00322,7
43326-44148,43738,0.0025,0.00414,9
43376-44198,43788,0.0025,0.00414,9
43426-44248,43838,0.0025,0.00414,9
43476-44298,43888,0.00167,0.00276,6
43528-44348,43938,0.00167,0.00276,6
43578-44398,43989,0.00139,0.0023,5
43639-44448,44046,0.00139,0.0023,5
43689-44498,44096,0.00278,0.00368,8
43739-44548,44148,0.0034,0.00414,9
43789-44598,44198,0.00389,0.0046,10
43839-44648,44248,0.00389,0.0046,10
43889-44698,44298,0.00361,0.00414,9
43939-44748,44348,0.00333,0.00368,8
43990-44798,44398,0.00333,0.00368,8
44047-44848,44448,0.00306,0.00322,7
44097-44898,44498,0.00306,0.00322,7
44149-44948,44548,0.0025,0.0023,5
44199-44998,44598,0.0025,0.0023,5
44249-45061,44648,0.00299,0.00276,6
44299-45111,44698,0.00299,0.00276,6
44349-45161,44748,0.00299,0.00276,6
44399-45211,44798,0.00299,0.00276,6
44449-45261,44848,0.00299,0.00276,6
44499-45311,44898,0.0016,0.00138,3
44549-45363,44948,0.00188,0.00184,4
44599-45458,44998,0.00167,0.00184,4
44649-45513,45061,0.00167,0.00184,4
44699-45569,45111,0.00257,0.00276,6
44749-45619,45161,0.00285,0.00322,7
44799-45669,45211,0.00313,0.00368,8
44849-45719,45261,0.00375,0.00414,9
44899-45769,45311,0.00375,0.00414,9
44949-45819,45363,0.00438,0.0046,10
44999-45875,45458,0.00771,0.00736,16
45062-45925,45513,0.00938,0.00874,19
45112-45990,45569,0.01028,0.00966,21
45162-46040,45619,0.01142,0.01058,23
45212-46090,45669,0.01142,0.01058,23
45262-46140,45719,0.01142,0.01058,23
45312-46190,45769,0.01142,0.01058,23
45364-46241,45819,0.01101,0.01012,22
45459-46291,45875,0.01073,0.00966,21
45514-46341,45925,0.01128,0.01058,23
45570-46395,45990,0.01066,0.01012,22
45620-46445,46040,0.01066,0.01012,22
45670-46495,46090,0.01038,0.00966,21
45720-46545,46140,0.01003,0.00966,21
45770-46595,46190,0.01066,0.01012,22
45820-46645,46241,0.01031,0.01012,22
45876-46695,46291,0.00698,0.00736,16
45926-46745,46341,0.0051,0.00598,13
45991-46795,46395,0.0042,0.00506,11
46041-46845,46445,0.00306,0.00414,9
46091-46895,46495,0.00306,0.00414,9
46141-46945,46545,0.00306,0.00414,9
46191-46995,46595,0.00354,0.0046,10
46242-47045,46645,0.00368,0.0046,10
46292-47095,46695,0.00368,0.0046,10
46342-47155,46745,0.00368,0.0046,10
46396-47205,46795,0.00389,0.0046,10
46446-47255,46845,0.00361,0.00414,9
46496-47309,46895,0.00451,0.00506,11
46546-47359,46945,0.00486,0.00506,11
46596-47409,46995,0.00528,0.00598,13
46646-47459,47045,0.00674,0.0069,15
46696-47509,47095,0.00674,0.0069,15
46746-47559,47155,0.0075,0.00782,17
46796-47609,47205,0.00875,0.0092,20
46846-47659,47255,0.00903,0.00966,21
46896-47720,47309,0.00903,0.00966,21
46946-47770,47359,0.00903,0.00966,21
46996-47834,47409,0.00944,0.01012,22
47046-47884,47459,0.00882,0.00966,21
47096-47938,47509,0.00882,0.00966,21
47156-47989,47559,0.00889,0.0092,20
47206-48039,47609,0.00868,0.0092,20
47256-48097,47659,0.00896,0.00966,21
47310-48147,47720,0.00868,0.0092,20
47360-48203,47770,0.00806,0.00874,19
47410-48253,47834,0.00701,0.00736,16
47460-48303,47884,0.00528,0.00598,13
47510-48353,47938,0.00556,0.00644,14
47560-48403,47989,0.00451,0.00506,11
47610-48453,48039,0.00326,0.00368,8
47660-48503,48097,0.00361,0.00368,8
47721-48553,48147,0.00417,0.0046,10
47771-48604,48203,0.00472,0.00552,12
47835-48654,48253,0.00382,0.0046,10
47885-48704,48303,0.00382,0.0046,10
47939-48754,48353,0.00382,0.0046,10
47990-48804,48403,0.00319,0.00414,9
48040-48855,48453,0.00319,0.00414,9
48098-48905,48503,0.00319,0.00414,9
48148-48955,48553,0.00285,0.00414,9
48204-49005,48604,0.00285,0.00414,9
48254-49055,48654,0.00313,0.0046,10
48304-49106,48704,0.00313,0.0046,10
48354-49156,48754,0.00285,0.00414,9
48404-49206,48804,0.00285,0.00414,9
48454-49256,48855,0.0034,0.00506,11
48504-49306,48905,0.00333,0.00552,12
48554-49371,48955,0.00278,0.0046,10
48605-49423,49005,0.0025,0.00414,9
48655-49473,49055,0.00278,0.0046,10
48705-49523,49106,0.00278,0.0046,10
48755-49583,49156,0.00306,0.00506,11
48805-49633,49206,0.00306,0.00506,11
48856-49683,49256,0.00278,0.0046,10
48906-49733,49306,0.00278,0.0046,10
48956-49783,49371,0.0025,0.00414,9
49006-49833,49423,0.0025,0.00414,9
49056-49883,49473,0.00278,0.0046,10
49107-49933,49523,0.00278,0.0046,10
49157-49983,49583,0.00278,0.0046,10
49207-50033,49633,0.00278,0.0046,10
49257-50083,49683,0.0025,0.00414,9
49307-50133,49733,0.00194,0.00322,7
49372-50183,49783,0.00194,0.00322,7
49424-50233,49833,0.00194,0.00322,7
49474-50283,49883,0.00167,0.00276,6
49524-50333,49933,0.00167,0.00276,6
49584-50383,49983,0.00139,0.0023,5
49634-50442,50033,0.00139,0.0023,5
49684-50492,50083,0.00271,0.00414,9
49734-50542,50133,0.00243,0.00368,8
49784-50592,50183,0.00243,0.00368,8
49834-50642,50233,0.00292,0.00414,9
49884-50692,50283,0.00236,0.00322,7
49934-50742,50333,0.00236,0.00322,7
49984-50792,50383,0.00285,0.00368,8
50034-50842,50442,0.00368,0.00506,11
50084-50892,50492,0.0034,0.0046,10
50134-50942,50542,0.0034,0.0046,10
50184-50992,50592,0.0034,0.0046,10
50234-51042,50642,0.00313,0.00414,9
50284-51092,50692,0.00313,0.00414,9
50334-51142,50742,0.00313,0.00414,9
50384-51198,50792,0.00313,0.00414,9
50443-51248,50842,0.00313,0.00414,9
50493-51298,50892,0.00208,0.00276,6
50543-51348,50942,0.00208,0.00276,6
50593-51398,50992,0.00208,0.00276,6
50643-51448,51042,0.0016,0.0023,5
50693-51498,51092,0.00188,0.00276,6
50743-51548,51142,0.00188,0.00276,6
50793-51598,51198,0.00139,0.0023,5
50843-51648,51248,0.00139,0.0023,5
50893-51698,51298,0.00139,0.0023,5
50943-51748,51348,0.00139,0.0023,5
50993-51803,51398,0.00285,0.00414,9
51043-51853,51448,0.00313,0.0046,10
51093-51931,51498,0.0034,0.00506,11
51143-51991,51548,0.00396,0.00598,13
51199-52043,51598,0.00472,0.0069,15
51249-52095,51648,0.00472,0.0069,15
51299-52145,51698,0.005,0.00736,16
51349-52199,51748,0.00597,0.00828,18
51399-52249,51803,0.00653,0.0092,20
51449-52305,51853,0.00681,0.00966,21
51499-52355,51931,0.00653,0.0092,20
51549-52405,51991,0.00653,0.0092,20
51599-52455,52043,0.00653,0.0092,20
51649-52505,52095,0.00597,0.00828,18
51699-52555,52145,0.00688,0.0092,20
51749-52605,52199,0.00715,0.00966,21
51804-52655,52249,0.00653,0.0092,20
51854-52705,52305,0.00681,0.00966,21
51932-52755,52355,0.00681,0.00966,21
51992-52805,52405,0.00625,0.00874,19
52044-52855,52455,0.00549,0.00782,17
52096-52905,52505,0.00549,0.00782,17
52146-52955,52555,0.00549,0.00782,17
52200-53005,52605,0.00479,0.00736,16
52250-53055,52655,0.00424,0.00644,14
52306-53105,52705,0.00396,0.00598,13
52356-53155,52755,0.00458,0.00644,14
52406-53205,52805,0.00507,0.0069,15
52456-53255,52855,0.00507,0.0069,15
52506-53305,52905,0.00507,0.0069,15
52556-53355,52955,0.00465,0.00644,14
52606-53405,53005,0.00465,0.00644,14
52656-53455,53055,0.00382,0.00506,11
52706-53505,53105,0.00403,0.00506,11
52756-53555,53155,0.00403,0.00506,11
52806-53605,53205,0.00403,0.00506,11
52856-53655,53255,0.00403,0.00506,11
52906-53705,53305,0.00465,0.00552,12
52956-53755,53355,0.00472,0.00506,11
53006-53805,53405,0.00444,0.0046,10
53056-53855,53455,0.00472,0.00506,11
53106-53905,53505,0.0059,0.00644,14
53156-53955,53555,0.00528,0.00598,13
53206-54005,53605,0.00507,0.00598,13
53256-54055,53655,0.00507,0.00598,13
53306-54105,53705,0.00479,0.00552,12
53356-54155,53755,0.00431,0.00506,11
53406-54205,53805,0.00403,0.0046,10
53456-54255,53855,0.00431,0.00506,11
53506-54305,53905,0.0041,0.00506,11
53556-54355,53955,0.0041,0.00506,11
53606-54405,54005,0.0041,0.00506,11
53656-54455,54055,0.0041,0.00506,11
53706-54505,54105,0.00347,0.0046,10
53756-54555,54155,0.00285,0.00414,9
53806-54605,54205,0.00313,0.0046,10
53856-54655,54255,0.00285,0.00414,9
53906-54705,54305,0.00167,0.00276,6
53956-54755,54355,0.00167,0.00276,6
54006-54805,54405,0.00139,0.0023,5
54056-54855,54455,0.00167,0.00276,6
54106-54905,54505,0.00194,0.00322,7
54156-54955,54555,0.00222,0.00368,8
54206-55005,54605,0.00222,0.00368,8
54256-55055,54655,0.00194,0.00322,7
54306-55105,54705,0.00194,0.00322,7
54356-55155,54755,0.00167,0.00276,6
54406-55205,54805,0.00167,0.00276,6
54456-55255,54855,0.00215,0.00322,7
54506-55305,54905,0.00215,0.00322,7
54556-55355,54955,0.00215,0.00322,7
54606-55405,55005,0.00188,0.00276,6
54656-55455,55055,0.00257,0.00322,7
54706-55505,55105,0.00313,0.00414,9
54756-55555,55155,0.00375,0.0046,10
54806-55605,55205,0.00403,0.00506,11
54856-55655,55255,0.00465,0.00552,12
54906-55705,55305,0.005,0.00552,12
54956-55755,55355,0.00521,0.00552,12
55006-55806,55405,0.00521,0.00552,12
55056-55856,55455,0.00549,0.00598,13
55106-55906,55505,0.00556,0.00552,12
55156-55956,55555,0.00556,0.00552,12
55206-56015,55605,0.00556,0.00552,12
55256-56065,55655,0.00569,0.00552,12
55306-56115,55705,0.00597,0.00598,13
55356-56165,55755,0.00646,0.00644,14
55406-56215,55806,0.00674,0.0069,15
55456-56265,55856,0.00604,0.00644,14
55506-56316,55906,0.00688,0.0069,15
55556-56366,55956,0.00625,0.00644,14
55606-56416,56015,0.00597,0.00598,13
55656-56466,56065,0.00507,0.00506,11
55706-56516,56115,0.00444,0.0046,10
55756-56566,56165,0.00396,0.00414,9
55807-56616,56215,0.00396,0.00414,9
55857-56666,56265,0.00368,0.00368,8
55907-56716,56316,0.00354,0.00368,8
55966-56766,56366,0.00382,0.00414,9
56016-56816,56416,0.00444,0.0046,10
56066-56866,56466,0.00382,0.00414,9
56116-56916,56516,0.00354,0.00368,8
56166-56966,56566,0.00438,0.00414,9
56216-57016,56616,0.0041,0.00368,8
56266-57066,56666,0.0041,0.00368,8
56317-57116,56716,0.00396,0.00322,7
56367-57166,56766,0.00396,0.00322,7
56417-57216,56816,0.00444,0.00368,8
56467-57266,56866,0.00444,0.00368,8
56517-57316,56916,0.00576,0.0046,10
56567-57366,56966,0.00639,0.00506,11
56617-57416,57016,0.00701,0.00552,12
56667-57466,57066,0.00729,0.00598,13
56717-57516,57116,0.00743,0.00598,13
56767-57566,57166,0.00715,0.00552,12
56817-57616,57216,0.00653,0.00506,11
56867-57666,57266,0.00653,0.00506,11
56917-57716,57316,0.00681,0.00552,12
56967-57766,57366,0.00549,0.0046,10
57017-57816,57416,0.00549,0.0046,10
57067-57866,57466,0.00576,0.00506,11
57117-57916,57516,0.00451,0.00414,9
57167-57966,57566,0.00549,0.00506,11
57217-58016,57616,0.00528,0.00506,11
57267-58066,57666,0.00528,0.00506,11
57317-58116,57716,0.00396,0.00414,9
57367-58166,57766,0.00333,0.00368,8
57417-58216,57816,0.00271,0.00322,7
57467-58266,57866,0.00243,0.00276,6
57517-58316,57916,0.00382,0.00414,9
57567-58366,57966,0.00465,0.00552,12
57617-58417,58016,0.00465,0.00552,12
57667-58467,58066,0.00465,0.00552,12
57717-58518,58116,0.00438,0.00506,11
57767-58568,58166,0.00438,0.00506,11
57817-58618,58216,0.00438,0.00506,11
57867-58668,58266,0.00438,0.00506,11
57917-58718,58316,0.00465,0.00552,12
57967-58777,58366,0.00368,0.0046,10
58017-58827,58417,0.0034,0.00414,9
58067-58877,58467,0.00396,0.00506,11
58117-58927,58518,0.00396,0.00506,11
58167-58977,58568,0.00424,0.00552,12
58217-59027,58618,0.00451,0.00598,13
58267-59077,58668,0.00479,0.00644,14
58317-59127,58718,0.00278,0.0046,10
58367-59177,58777,0.00194,0.00322,7
58418-59227,58827,0.00194,0.00322,7
58468-59277,58877,0.00194,0.00322,7
58519-59327,58927,0.00194,0.00322,7
58569-59377,58977,0.00194,0.00322,7
58619-59427,59027,0.00222,0.00368,8
58669-59477,59077,0.00222,0.00368,8
58719-59527,59127,0.00222,0.00368,8
58778-59577,59177,0.00222,0.00368,8
58828-59627,59227,0.00222,0.00368,8
58878-59677,59277,0.00167,0.00276,6
58928-59727,59327,0.00194,0.00322,7
58978-59777,59377,0.00167,0.00276,6
59028-59827,59427,0.00139,0.0023,5
59078-59877,59477,0.00111,0.00184,4
59128-59927,59527,0.00111,0.00184,4
59178-59977,59577,0.00111,0.00184,4
59228-60027,59627,0.00229,0.00322,7
59278-60077,59677,0.00257,0.00368,8
59328-60127,59727,0.00333,0.0046,10
59378-60177,59777,0.00361,0.00506,11
59428-60227,59827,0.00333,0.0046,10
59478-60287,59877,0.00306,0.00414,9
59528-60337,59927,0.0034,0.00414,9
59578-60387,59977,0.00368,0.0046,10
59628-60458,60027,0.00528,0.00598,13
59678-60508,60077,0.00528,0.00598,13
59728-60558,60127,0.00549,0.00598,13
59778-60608,60177,0.00576,0.00644,14
59828-60658,60227,0.00576,0.00644,14
59878-60708,60287,0.00604,0.0069,15
59928-60758,60337,0.00653,0.00736,16
59978-60810,60387,0.00715,0.00782,17
60028-60860,60458,0.00597,0.00644,14
60078-60910,60508,0.00569,0.00598,13
60128-60960,60558,0.00493,0.00506,11
60178-61010,60608,0.00549,0.00598,13
60228-61065,60658,0.00576,0.00644,14
60288-61115,60708,0.00632,0.00736,16
60338-61165,60758,0.00597,0.00736,16
60388-61215,60810,0.00569,0.0069,15
60459-61265,60860,0.00438,0.00598,13
60509-61315,60910,0.00438,0.00598,13
60559-61365,60960,0.00514,0.00644,14
60609-61415,61010,0.00542,0.0069,15
60659-61465,61065,0.00694,0.00828,18
60709-61515,61115,0.00667,0.00782,17
60759-61565,61165,0.00618,0.00736,16
60811-61615,61215,0.00632,0.00782,17
60861-61665,61265,0.0066,0.00828,18
60911-61715,61315,0.01132,0.01334,29
60961-61765,61365,0.01368,0.01564,34
61011-61815,61415,0.0134,0.01518,33
61066-61865,61465,0.01396,0.0161,35
61116-61921,61515,0.0134,0.01518,33
61166-61971,61565,0.01396,0.0161,35
61216-62021,61615,0.01396,0.0161,35
61266-62071,61665,0.01424,0.01656,36
61316-62124,61715,0.01563,0.01886,41
61366-62180,61765,0.01465,0.0184,40
61416-62230,61815,0.0141,0.01748,38
61466-62286,61865,0.01257,0.0161,35
61516-62337,61921,0.01257,0.0161,35
61566-62387,61971,0.01285,0.01656,36
61616-62437,62021,0.01208,0.01564,34
61666-62487,62071,0.01181,0.01518,33
61716-62825,62124,0.00736,0.01058,23
61766-62875,62180,0.00528,0.00874,19
61816-62925,62230,0.00472,0.00782,17
61866-62975,62286,0.00389,0.00644,14
61922-63025,62337,0.00438,0.0069,15
61972-63075,62387,0.00354,0.00552,12
62022-63125,62437,0.00403,0.00598,13
62072-63175,62487,0.00347,0.00506,11
62125-63225,62825,0.00257,0.00322,7
62181-63275,62875,0.00229,0.00276,6
62231-63325,62925,0.00319,0.00368,8
62287-63375,62975,0.00319,0.00368,8
62338-63425,63025,0.00347,0.00414,9
62388-63475,63075,0.0041,0.0046,10
62438-63525,63125,0.00438,0.00506,11
62488-63575,63175,0.00465,0.00552,12
62826-63632,63225,0.00493,0.00598,13
62876-63682,63275,0.00465,0.00552,12
62926-63732,63325,0.00465,0.00552,12
62976-63782,63375,0.00465,0.00552,12
63026-63832,63425,0.00444,0.00552,12
63076-63882,63475,0.00444,0.00552,12
63126-63932,63525,0.00396,0.00506,11
63176-63982,63575,0.00424,0.00552,12
63226-64032,63632,0.00375,0.00506,11
63276-64082,63682,0.00403,0.00552,12
63326-64132,63732,0.00313,0.0046,10
63376-64182,63782,0.00313,0.0046,10
63426-64232,63832,0.00285,0.00414,9
63476-64282,63882,0.00306,0.00506,11
63526-64332,63932,0.00326,0.00506,11
63576-64382,63982,0.0041,0.00552,12
63633-64432,64032,0.00417,0.00506,11
63683-64482,64082,0.00444,0.00552,12
63733-64532,64132,0.00472,0.00598,13
63783-64582,64182,0.00472,0.00598,13
63833-64632,64232,0.00493,0.00598,13
63883-64682,64282,0.00493,0.00598,13
63933-64732,64332,0.00493,0.00598,13
63983-64782,64382,0.00521,0.00644,14
64033-64832,64432,0.00549,0.0069,15
64083-64882,64482,0.0059,0.0069,15
64133-64932,64532,0.00639,0.00736,16
64183-64983,64582,0.00688,0.00782,17
64233-65038,64632,0.00813,0.0092,20
64283-65095,64682,0.00701,0.00736,16
64333-65145,64732,0.00653,0.0069,15
64383-65195,64782,0.0059,0.00644,14
64433-65245,64832,0.00576,0.00644,14
64483-65298,64882,0.00549,0.00598,13
64533-65348,64932,0.00549,0.00598,13
64583-65398,64983,0.00667,0.00736,16
64633-65450,65038,0.00708,0.00782,17
64683-65500,65095,0.00844,0.0092,20
64733-65555,65145,0.00899,0.01012,22
64783-65605,65195,0.00997,0.01058,23
64833-65655,65245,0.00969,0.01012,22
64883-65705,65298,0.00899,0.00966,21
64934-65755,65348,0.00878,0.00966,21
64984-65805,65398,0.0083,0.0092,20
65039-65855,65450,0.00705,0.00782,17
65096-65905,65500,0.00705,0.00782,17
65146-65955,65555,0.00705,0.00782,17
65196-66005,65605,0.00656,0.00736,16
65246-66055,65655,0.00608,0.0069,15
65299-66105,65705,0.00608,0.0069,15
65349-66155,65755,0.0058,0.00644,14
65399-66205,65805,0.00524,0.00552,12
65451-66255,65855,0.00434,0.0046,10
65501-66305,65905,0.00326,0.00368,8
65556-66355,65955,0.00271,0.00276,6
65606-66405,66005,0.00118,0.00138,3
65656-66455,66055,0.00118,0.00138,3
65706-66505,66105,0.00118,0.00138,3
65756-66555,66155,0.00153,0.00138,3
65806-66605,66205,0.00285,0.00322,7
65856-66655,66255,0.00313,0.00368,8
65906-66705,66305,0.00375,0.00414,9
65956-66763,66355,0.00403,0.0046,10
66006-66813,66405,0.00403,0.0046,10
66056-66867,66455,0.00507,0.00598,13
66106-66917,66505,0.00653,0.00782,17
66156-66967,66555,0.00708,0.00874,19
66206-67017,66605,0.00722,0.0092,20
66256-67067,66655,0.00917,0.01104,24
66306-67117,66705,0.00944,0.0115,25
66356-67167,66763,0.00993,0.01196,26
66406-67217,66813,0.00993,0.01196,26
66456-67267,66867,0.01049,0.01288,28
66506-67317,66917,0.01076,0.01334,29
66556-67367,66967,0.01042,0.01334,29
66606-67417,67017,0.00972,0.01196,26
66656-67467,67067,0.00972,0.01196,26
66714-67517,67117,0.0091,0.0115,25
66764-67567,67167,0.0091,0.0115,25
66814-67624,67217,0.00993,0.01288,28
66868-67675,67267,0.00917,0.01196,26
66918-67725,67317,0.00826,0.01104,24
66968-67775,67367,0.00771,0.01012,22
67018-67825,67417,0.00694,0.0092,20
67068-67875,67467,0.00549,0.00782,17
67118-67930,67517,0.00493,0.0069,15
67168-67980,67567,0.00444,0.00644,14
67218-68030,67624,0.00444,0.00644,14
67268-68089,67675,0.00417,0.00598,13
67318-68139,67725,0.00417,0.00598,13
67368-68189,67775,0.00389,0.00552,12
